threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,predicted_industrial
0.02,54,191,3,924,0.22040816326530613,0.9473684210526315,0.35761589403973504,245
0.03,53,171,4,944,0.23660714285714285,0.9298245614035088,0.37722419928825623,224
0.04,53,143,4,972,0.27040816326530615,0.9298245614035088,0.41897233201581036,196
0.05,53,137,4,978,0.2789473684210526,0.9298245614035088,0.4291497975708502,190
0.06,53,130,4,985,0.2896174863387978,0.9298245614035088,0.4416666666666667,183
0.07,52,122,5,993,0.2988505747126437,0.9122807017543859,0.45021645021645024,174
0.08,51,114,6,1001,0.3090909090909091,0.8947368421052632,0.45945945945945943,165
0.09,51,102,6,1013,0.3333333333333333,0.8947368421052632,0.48571428571428565,153
0.1,50,97,7,1018,0.3401360544217687,0.8771929824561403,0.49019607843137253,147
0.11,50,91,7,1024,0.3546099290780142,0.8771929824561403,0.5050505050505051,141
0.12,49,85,8,1030,0.3656716417910448,0.8596491228070176,0.5130890052356021,134
0.13,49,79,8,1036,0.3828125,0.8596491228070176,0.5297297297297298,128
0.14,49,75,8,1040,0.3951612903225806,0.8596491228070176,0.5414364640883979,124
0.15,48,72,9,1043,0.4,0.8421052631578947,0.5423728813559322,120
0.16,48,65,9,1050,0.4247787610619469,0.8421052631578947,0.5647058823529412,113
0.17,47,62,10,1053,0.43119266055045874,0.8245614035087719,0.5662650602409639,109
0.18,47,59,10,1056,0.44339622641509435,0.8245614035087719,0.5766871165644172,106
0.19,46,56,11,1059,0.45098039215686275,0.8070175438596491,0.5786163522012578,102
0.2,44,54,13,1061,0.4489795918367347,0.7719298245614035,0.5677419354838709,98
0.21,42,53,15,1062,0.4421052631578947,0.7368421052631579,0.5526315789473685,95
0.22,40,52,17,1063,0.43478260869565216,0.7017543859649122,0.5369127516778524,92
0.23,40,50,17,1065,0.4444444444444444,0.7017543859649122,0.54421768707483,90
0.24,38,50,19,1065,0.4318181818181818,0.6666666666666666,0.5241379310344827,88
0.25,38,49,19,1066,0.4367816091954023,0.6666666666666666,0.5277777777777778,87
0.26,38,45,19,1070,0.4578313253012048,0.6666666666666666,0.5428571428571428,83
0.27,37,43,20,1072,0.4625,0.6491228070175439,0.5401459854014599,80
0.28,36,43,21,1072,0.45569620253164556,0.631578947368421,0.5294117647058824,79
0.29,35,42,22,1073,0.45454545454545453,0.6140350877192983,0.5223880597014926,77
0.3,33,40,24,1075,0.4520547945205479,0.5789473684210527,0.5076923076923077,73
0.31,32,38,25,1077,0.45714285714285713,0.5614035087719298,0.5039370078740157,70
0.32,31,37,26,1078,0.45588235294117646,0.543859649122807,0.496,68
0.33,30,34,27,1081,0.46875,0.5263157894736842,0.49586776859504134,64
0.34,30,33,27,1082,0.47619047619047616,0.5263157894736842,0.5,63
0.35,30,32,27,1083,0.4838709677419355,0.5263157894736842,0.504201680672269,62
0.36,29,30,28,1085,0.4915254237288136,0.5087719298245614,0.5,59
0.37,29,30,28,1085,0.4915254237288136,0.5087719298245614,0.5,59
0.38,29,30,28,1085,0.4915254237288136,0.5087719298245614,0.5,59
0.39,29,29,28,1086,0.5,0.5087719298245614,0.5043478260869565,58
0.4,27,23,30,1092,0.54,0.47368421052631576,0.5046728971962616,50
