observation_id,audit_group,acquired_at,latitude,longitude,brightness,frp,detections_3d,detections_7d,detections_10d,detections_30d,distinct_active_days_30d,distance_to_strong_industrial_km,nearest_strong_industrial_category,nearest_strong_industrial_strength,distance_to_vegetation_km,nearest_vegetation_category,nearest_vegetation_strength,osm_context_relation
FW_00023974,industrial_no_prior,2022-02-04 07:54:00,23.82599,77.8979,343.35,2.85,0,0,0,0,0,0.20245849,industrial_landuse,3,19.429108,scrub,3,strong_industrial_context
FW_00017732,industrial_no_prior,2022-01-29 08:06:00,22.33206,74.71008,336.32,2.28,0,0,0,0,0,0.3591311,power_plant,3,5.0522413,grassland,3,strong_industrial_context
FW_01214501,industrial_no_prior,2024-02-10 07:52:00,15.97538,76.43916,338.26,3.88,0,0,0,0,0,2.9989126,mining,3,11.812573,forest_woodland,3,strong_industrial_context
FW_01191335,industrial_no_prior,2024-01-19 08:05:00,17.69634,75.50822,347.61,8.61,0,0,0,0,0,2.9977765,industrial_landuse,3,15.139598,farmland,3,strong_industrial_context
FW_01192231,industrial_no_prior,2024-01-20 07:47:00,21.05283,75.87196,342.51,5.12,0,0,0,0,0,1.4984319,industrial_landuse,3,8.235022,scrub,3,strong_industrial_context
FW_01035634,industrial_no_prior,2023-06-13 08:33:00,22.77574,72.62681,337.25,1.57,0,0,0,0,0,1.4558439,industrial_landuse,3,21.003572,forest_woodland,3,strong_industrial_context
FW_00030826,industrial_no_prior,2022-02-12 07:03:00,21.94125,82.44014,337.36,2.75,0,0,0,0,0,2.5832381,mining,3,17.467312,farmland,3,strong_industrial_context
FW_00658090,industrial_no_prior,2023-02-14 07:24:00,23.75376,85.54111,334.83,2.3,0,0,0,0,0,0.42839858,mining,3,4.107778,forest_woodland,3,strong_industrial_context
FW_01244675,industrial_no_prior,2024-02-29 21:08:00,16.28423,75.53678,303.75,0.53,0,0,0,0,0,2.174495,industrial_landuse,3,6.566651,forest_woodland,3,strong_industrial_context
FW_01260322,industrial_no_prior,2024-03-07 20:36:00,16.20574,75.20878,303.72,0.72,0,0,0,0,0,0.1148813,industrial_tag,3,4.111134,forest_woodland,3,strong_industrial_context
FW_01663292,industrial_no_prior,2024-11-20 07:28:00,27.21171,83.68526,329.68,1.99,0,0,0,0,0,2.7234619,industrial_landuse,3,6.0072656,farmland,3,strong_industrial_context
FW_00520703,industrial_no_prior,2022-11-13 08:09:00,29.54103,74.80428,331.31,3.11,0,0,0,0,0,2.461597,industrial_landuse,3,11.670814,farmland,3,strong_industrial_context
FW_00655991,industrial_no_prior,2023-02-13 20:12:00,17.66723,80.49123,301.82,0.7,0,0,0,0,0,0.45426673,mining,3,3.3953483,orchard,3,strong_industrial_context
FW_01052634,industrial_no_prior,2023-10-05 07:51:00,12.08002,78.97234,330.42,2.52,0,0,0,0,0,1.9434811,manufacturing,3,4.456345,forest_woodland,3,strong_industrial_context
FW_00013882,industrial_no_prior,2022-01-23 08:19:00,23.91705,71.21155,336.43,2.08,0,0,0,0,0,2.810174,power_plant,3,35.265354,farmland,3,strong_industrial_context
FW_01171698,industrial_no_prior,2024-01-01 08:43:00,17.06993,76.9152,367.0,5.22,0,0,0,0,0,1.8174819,mining,3,4.9497547,farmland,3,strong_industrial_context
FW_00060087,industrial_no_prior,2022-03-03 07:45:00,13.19578,78.00684,337.61,2.79,0,0,0,0,0,0.35927066,industrial_landuse,3,4.370894,orchard,3,strong_industrial_context
FW_00294098,industrial_no_prior,2022-04-17 08:43:00,18.7564,73.18126,335.24,3.53,0,0,0,0,0,0.93964475,industrial_landuse,3,4.274197,forest_woodland,3,strong_industrial_context
FW_01302908,industrial_no_prior,2024-03-19 07:38:00,10.75993,77.8846,342.3,9.27,0,0,0,0,0,1.2060795,industrial_landuse,3,5.013865,orchard,3,strong_industrial_context
FW_00808425,industrial_no_prior,2023-03-22 07:49:00,23.78976,85.83401,337.95,3.23,0,0,0,0,0,1.7768232,industrial_landuse,3,4.8312807,farmland,3,strong_industrial_context
FW_00000377,industrial_no_prior,2022-01-01 19:20:00,21.7695,84.02167,306.65,1.04,0,0,0,0,0,0.40125808,industrial_landuse,3,10.3609085,forest,3,strong_industrial_context
FW_01103476,industrial_no_prior,2023-11-11 07:58:00,13.9872,77.47787,346.91,3.88,0,0,0,0,0,0.19472386,industrial_landuse,3,16.941195,scrub,3,strong_industrial_context
FW_01700207,industrial_no_prior,2024-12-15 07:57:00,13.71521,77.53512,333.79,3.65,0,0,0,0,0,1.8503077,industrial_landuse,3,10.4714365,scrub,3,strong_industrial_context
FW_00849408,industrial_no_prior,2023-04-08 07:31:00,22.37397,72.59082,337.91,3.01,0,0,0,0,0,1.904573,industrial_landuse,3,6.9807596,forest_woodland,3,strong_industrial_context
FW_01599182,industrial_no_prior,2024-06-15 08:31:00,22.14257,72.24533,356.99,9.39,0,0,0,0,0,1.2172269,industrial_landuse,3,11.327641,farmland,3,strong_industrial_context
FW_01172907,industrial_no_prior,2024-01-02 19:12:00,23.77719,86.86195,295.42,0.28,0,0,0,0,0,0.23657595,industrial_landuse,3,5.3069673,forest_woodland,3,strong_industrial_context
FW_00399986,industrial_no_prior,2022-05-10 08:11:00,18.30732,78.67132,356.25,3.17,0,0,0,0,0,0.3956062,industrial_landuse,3,8.995471,forest_woodland,3,strong_industrial_context
FW_00508068,industrial_no_prior,2022-11-10 07:23:00,22.75001,78.79389,332.69,2.48,0,0,0,0,0,1.3575448,mining,3,6.2375298,grassland,3,strong_industrial_context
FW_01419144,industrial_no_prior,2024-04-14 07:54:00,22.87803,86.29929,338.73,3.74,0,0,0,0,0,1.223271,kiln,3,4.224052,scrub,3,strong_industrial_context
FW_01223775,industrial_no_prior,2024-02-16 07:44:00,31.44503,75.19323,328.51,4.55,0,0,0,0,0,1.8099778,industrial_tag,3,3.7715557,forest,3,strong_industrial_context
FW_00999957,industrial_no_prior,2023-05-17 08:42:00,31.2597,75.47719,334.15,2.89,0,0,0,0,0,1.2026316,power_plant,3,6.524531,agricultural,2,strong_industrial_context
FW_01090579,industrial_no_prior,2023-11-05 08:15:00,30.68619,76.39362,333.01,1.91,0,0,0,0,0,1.9643734,industrial_landuse,3,4.105053,agricultural,2,strong_industrial_context
FW_00434670,industrial_no_prior,2022-06-08 07:27:00,21.44935,80.349,339.47,2.02,0,0,0,0,0,2.1939101,mining,3,10.798922,forest_woodland,3,strong_industrial_context
FW_00840372,industrial_no_prior,2023-04-05 08:27:00,22.63171,77.74658,350.12,6.16,0,0,0,0,0,2.5714998,industrial_landuse,3,5.0784073,forest_woodland,3,strong_industrial_context
FW_01169588,industrial_no_prior,2023-12-30 07:42:00,22.92878,69.76639,335.08,3.15,0,0,0,0,0,2.8156567,industrial_landuse,3,6.7152085,scrub,3,strong_industrial_context
FW_01065141,industrial_no_prior,2023-10-23 07:19:00,31.95253,74.92024,367.0,10.58,0,0,0,0,0,0.6957776,power_plant,3,8.090913,forest_woodland,3,strong_industrial_context
FW_01060247,industrial_no_prior,2023-10-18 08:52:00,29.60406,75.25292,332.98,2.66,0,0,0,0,0,1.8932201,power_plant,3,21.740307,farmland,3,strong_industrial_context
FW_01069152,industrial_no_prior,2023-10-26 08:02:00,28.35731,73.40082,351.24,8.59,0,0,0,0,0,0.048837446,industrial_landuse,3,31.064568,grassland,2,strong_industrial_context
FW_00165377,industrial_no_prior,2022-03-25 07:34:00,19.4238,82.87173,342.29,2.79,0,0,0,0,0,1.3153565,power_plant,3,4.0941267,forest,3,strong_industrial_context
FW_00063691,industrial_no_prior,2022-03-04 07:28:00,23.94927,91.86749,333.23,2.93,0,0,0,0,0,2.263732,mining,3,3.5586038,forest_woodland,3,strong_industrial_context
FW_00629320,industrial_no_prior,2023-02-02 07:48:00,20.63887,86.20614,342.48,5.57,0,0,0,0,0,2.7947195,mining,3,3.2604115,scrub,3,strong_industrial_context
FW_00440773,industrial_no_prior,2022-06-25 07:12:00,31.41633,75.53675,334.68,2.5,0,0,0,0,0,2.271677,industrial_landuse,3,3.280433,orchard,3,strong_industrial_context
FW_01617090,industrial_no_prior,2024-10-13 07:41:00,27.26808,81.1259,341.27,5.35,0,0,0,0,0,2.3439898,industrial_tag,3,16.180262,forest,3,strong_industrial_context
FW_00447806,industrial_no_prior,2022-09-20 08:22:00,31.54919,75.11376,346.24,16.85,0,0,0,0,0,2.1997833,industrial_landuse,3,8.128594,farmland,3,strong_industrial_context
