observation_id,source_class,calibrated_predicted_class,label_quality,label_source,temporal_status,frp,brightness,detections_30d,distinct_active_days_30d,distance_to_strong_industrial_km,distance_to_supporting_industrial_km,distance_to_infrastructure_km,distance_to_vegetation_km,independent_industrial_distance_km,calibrated_prob_industrial,calibrated_prob_natural,calibrated_prob_other
FW25_00130729,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,4.5,328.14,2,1,3.8642743,3.6341283,10.979785,2.9180007,1.1280728565781906,0.0007198823373147,0.9195915206886944,0.0796885969739908
FW25_00423466,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,12.18,341.96,0,0,2.263746,5.6029606,2.2695353,2.6626937,1.7586751518905308,0.001344324974743,0.7728024923557665,0.2258531826694904
FW25_00423465,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,14.44,355.99,1,1,2.115661,5.0146484,2.2418478,2.3852766,1.840908387790002,0.0015579732929851,0.7215492417861519,0.2768927849208629
FW25_00423467,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,9.32,340.19,0,0,1.9927032,6.0561285,1.9991391,2.56616,1.4412361591459875,0.002112063061555,0.7337006360018268,0.2641873009366183
FW25_00547549,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,5.46,333.49,1,1,2.0516257,12.549711,2.256084,3.3685474,1.8581351657348102,0.0024641459916054,0.8426646621103225,0.154871191898072
FW25_00562224,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,4.46,337.03,0,0,1.8709986,5.850949,5.862814,6.812705,1.882629090463366,0.0033089785482697,0.7272266376426905,0.2694643838090398
FW25_00451901,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,13.03,346.57,0,0,1.4479299,9.705086,1.3153309,0.5208768,1.563976343916871,0.0054781578476338,0.7618553061038003,0.2326665360485658
FW25_00443426,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,17.87,352.05,0,0,1.5626252,12.83391,1.8208126,3.7379825,1.309317272031912,0.0087157654665148,0.7660553438265095,0.2252288907069755
FW25_00430953,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,19.98,346.3,1,1,1.5347313,1.4973404,2.0177073,2.3216498,1.570068530330165,0.0089560415440401,0.7509583172211985,0.2400856412347614
FW25_00546551,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,PERSISTENT,1.87,310.88,18,11,0.8346784,18.4575,3.3615475,9.726065,0.38787888248480495,0.00969866383472,0.0726526509226249,0.917648685242655
FW25_00399593,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,4.51,338.64,0,0,1.371063,9.782997,1.8154737,4.4797072,1.8565268422340653,0.0102470919964605,0.6484905187348263,0.3412623892687131
FW25_00349255,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,18.16,346.58,1,1,1.9440448,1.8736159,1.8336651,2.0418496,1.9338731561457638,0.0108022106765072,0.6333498342821211,0.3558479550413717
FW25_00400185,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,28.11,356.01,1,1,1.8903762,1.7348078,1.8570739,3.687544,1.8274573767920053,0.0108112806292136,0.6818673904285455,0.3073213289422409
FW25_00642014,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,5.67,338.8,0,0,1.1371292,20.76045,1.0942974,13.05094,1.1746624913192774,0.0113222818911091,0.6428952048013843,0.3457825133075065
FW25_00573770,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,2.41,319.96,0,0,1.1812139,3.292983,1.1517755,1.7229435,1.0710896864744772,0.0118794976736928,0.2658497462755342,0.722270756050773
FW25_00604552,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,13.61,367.0,1,1,1.7399063,1.7776114,1.7289592,2.0599654,1.8118112792476464,0.0120260285063885,0.3453112110427977,0.6426627604508136
FW25_00529281,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,6.05,340.1,0,0,2.0389526,1.6059749,1.2940251,1.348376,1.6816236044542807,0.0121203836752725,0.4944904698857604,0.4933891464389668
FW25_00250606,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,PERSISTENT,1.1,304.42,25,21,0.5445445,18.483263,3.6737306,9.643394,0.06062418220446361,0.0130082232849961,0.0635137091986837,0.92347806751632
FW25_00400187,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,24.77,350.85,1,1,1.9307216,1.7781361,1.8722489,3.6628942,1.8590511442185995,0.0130381032175615,0.6491566412202889,0.3378052555621495
FW25_00491413,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,7.88,343.65,0,0,2.278847,1.7193792,1.2693737,0.81393594,1.8485949230957326,0.0133816143916013,0.6194744201484561,0.3671439654599424
FW25_00400190,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,30.65,367.0,1,1,1.9232562,1.779097,1.8217591,3.752054,1.837543744202635,0.0136162248472381,0.6207872653352421,0.3655965098175199
FW25_00144481,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,0.82,304.47,2,2,0.6322555,10.742731,1.9869914,1.2587554,1.8407154104213723,0.0136849538713181,0.4686085395641917,0.5177065065644902
FW25_00572213,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,5.89,336.1,2,1,1.9402759,5.22912,1.5308882,6.2695966,1.7422127612497822,0.0138897541830001,0.7073710803763442,0.2787391654406556
FW25_00098950,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,PERSISTENT,0.79,303.02,31,24,0.3812711,18.49099,3.9192939,9.6027565,0.19139393604832797,0.014934125260944,0.025803101990585,0.959262772748471
FW25_00398004,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,5.38,342.05,0,0,1.6609569,1.7141845,1.7268122,1.2182624,1.725331959444463,0.0152411626063112,0.6389349876933158,0.3458238497003729
FW25_00474328,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,RECURRENT,0.5,304.75,4,4,1.9851743,11.841115,0.7231424,2.4795916,0.7514839471968436,0.016091432725798,0.428392763512033,0.5555158037621688
FW25_00436134,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,EPISODIC,9.99,342.58,1,1,0.81751245,3.91905,0.5484622,6.08693,0.45171949126194866,0.0168508541754929,0.468600040720624,0.5145491051038831
FW25_00396585,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,11.66,343.29,2,2,1.5678421,1.8521134,2.0788329,12.396242,1.8291550984401495,0.0177701706779307,0.5908198975666882,0.3914099317553812
FW25_00578122,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,1.26,330.64,0,0,1.500347,1.5484196,1.7695851,3.712952,1.5579290327719255,0.0244088955727991,0.4537288339789621,0.5218622704482387
FW25_00010478,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,1.6,308.04,1,1,4.472567,4.9965153,1.9505849,9.421947,1.8206644430235974,0.0247634707496637,0.5879867347447755,0.3872497945055609
FW25_00630358,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,2.16,333.79,2,2,1.4876199,1.6453683,1.1087868,2.4342847,1.6329459081981839,0.0254313635421549,0.5733515129257816,0.4012171235320635
FW25_00007148,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,RECURRENT,0.56,301.19,3,2,1.4481275,11.768999,0.8532901,2.0962996,0.7093046298956698,0.0261445868271447,0.0815323199739491,0.892323093198906
FW25_00007147,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,RECURRENT,0.81,299.07,3,2,1.9966311,12.009733,0.5297935,2.6543448,0.551221938421945,0.0264513519245837,0.1394997045873106,0.8340489434881057
FW25_00196094,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,PERSISTENT,2.1,306.6,7,7,1.6205885,11.990342,0.6500568,2.250097,0.4852384437520355,0.0290910561303508,0.0768178490448662,0.8940910948247829
FW25_00035556,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,7.47,342.67,1,1,2.0278852,1.7469226,1.682833,3.249009,1.72195089982333,0.0302274674837503,0.4831140820793307,0.4866584504369189
FW25_00515937,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,0.47,303.09,0,0,1.1294951,2.738215,0.80713505,3.1407554,1.1290176149990148,0.0305307919094973,0.0371604012235204,0.9323088068669824
FW25_00472737,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,6.19,338.09,0,0,3.1066885,1.70899,1.4187486,10.2791395,1.8299272284184693,0.0313189834126417,0.5278631496991043,0.440817866888254
FW25_00517604,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,RECURRENT,1.19,297.72,3,3,0.46215475,18.530989,3.7306273,9.586337,0.05065148186632077,0.0321688388597186,0.0411587576086714,0.9266724035316098
FW25_00514941,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,EPISODIC,0.74,305.33,0,0,1.6125921,11.937189,0.65831363,2.2299657,0.47153159919409054,0.0344438690140986,0.1332480171735623,0.8323081138123389
FW25_00585644,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,3.2,335.03,0,0,1.4012079,18.580507,0.82108563,6.6633873,1.6366621045324554,0.036971319312268,0.3414249781664127,0.6216037025213191
FW25_00645513,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,RECURRENT,2.44,336.04,4,2,0.9425667,1.535663,1.5251352,1.3259875,1.8944011258859972,0.0386301909466728,0.4144388239806848,0.5469309850726423
FW25_00009358,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,PERSISTENT,0.98,305.68,30,22,0.49765655,22.911325,0.16563502,7.2343273,0.28633585630202607,0.0454158639161854,0.0129506329759703,0.941633503107844
FW25_00219901,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,RECURRENT,6.12,367.0,5,2,1.0352746,0.18589063,1.8484498,0.8914283,1.353567112938857,0.0514884194924098,0.3911419642178663,0.5573696162897238
FW25_00375774,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,PERSISTENT,5.55,310.62,7,7,0.15661341,8.113572,0.3704953,5.485861,0.45877904650059614,0.0545089129522462,0.0436032745858535,0.9018878124619004
FW25_00395709,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,5.67,339.75,0,0,1.2220151,1.8312372,2.1502767,18.34931,1.924798605321662,0.0583278075685133,0.4056362165587265,0.5360359758727601
FW25_00107553,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,RECURRENT,0.48,304.34,3,3,0.81513476,11.673303,0.5167308,3.3531744,1.9630887968645938,0.06031360034638,0.115113833369684,0.8245725662839358
FW25_00007101,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,0.49,302.0,0,0,0.2410374,1.3355639,1.8423415,1.1804532,1.7521909831646199,0.0614267415707444,0.0329338931164635,0.905639365312792
FW25_00544872,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,EPISODIC,0.77,298.34,2,2,0.5417556,5.6933765,0.76698524,0.92466474,0.7374522845299546,0.0620524509465146,0.1606792746740052,0.7772682743794801
FW25_00535671,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,1.22,301.39,2,2,0.21782215,7.204704,2.0977223,5.1620564,1.1511624752627194,0.0622019850737237,0.031915635968879,0.9058823789573972
