observation_id,source_class,label_quality,label_source,label_conflict_industrial_vs_vegetation,temporal_status,detections_30d,distinct_active_days_30d,frp,brightness,distance_to_strong_industrial_km,distance_to_supporting_industrial_km,distance_to_infrastructure_km,distance_to_vegetation_km,strong_industrial_vs_vegetation_distance_km,strong_industrial_within_1_0km,strong_industrial_within_1_5km,supporting_industrial_within_1_0km,supporting_industrial_within_1_5km,independent_industrial_distance_km,industrial_reference_le_1km,industrial_reference_le_2km,actual_class,raw_prob_industrial,raw_prob_natural,raw_prob_other,calibrated_prob_industrial,calibrated_prob_natural,calibrated_prob_other,raw_predicted_class,calibrated_predicted_class
FW25_00435186,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,7.47,338.4,12.0369425,0.7336883,5.6810346,3.4221058,-8.614837,0,0,1,1,68.07334797183312,False,False,natural_vegetation_fire,0.0054773146594127,0.8812292274892524,0.1132934578513349,0.0012682751325399,0.931451119953552,0.0672806049139076,natural_vegetation_fire,natural_vegetation_fire
FW25_00070178,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,9.64,354.51,5.6321898,0.58136207,7.772514,2.524041,-3.1081488,0,0,1,1,61.60192213268996,False,False,natural_vegetation_fire,0.0061003762304483,0.9058788367663368,0.0880207870032149,0.0012736909474846,0.9473067502735166,0.0514195587789987,natural_vegetation_fire,natural_vegetation_fire
FW25_00494468,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,18.87,341.12,7.3673525,0.38985556,7.190348,1.4512804,-5.916072,0,0,1,1,15.913989162622673,False,False,natural_vegetation_fire,0.0062820239411629,0.9117690785178052,0.0819488975410319,0.0012765763991616,0.9510230854057384,0.0477003381950997,natural_vegetation_fire,natural_vegetation_fire
FW25_00392777,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,4.76,335.36,9.099668,0.11923285,8.031539,1.2165153,-7.883152,0,0,1,1,32.32752445377461,False,False,natural_vegetation_fire,0.0062333016195272,0.8873363326850658,0.106430365695407,0.0013509453112187,0.9357676806666166,0.0628813740221645,natural_vegetation_fire,natural_vegetation_fire
FW25_00190842,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,6.91,342.29,16.137466,0.904684,8.918399,2.5880108,-13.549456,0,0,1,1,49.72173560393512,False,False,natural_vegetation_fire,0.0079211129247947,0.9327472660460924,0.0593316210291129,0.0013818704305294,0.964491778555799,0.0341263510136715,natural_vegetation_fire,natural_vegetation_fire
FW25_00248821,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,6.61,345.0,27.70877,0.9964453,3.3112438,14.433497,-13.275273,0,0,1,1,75.4302830145854,False,False,natural_vegetation_fire,0.0063555568011545,0.8524180966376643,0.1412263465611811,0.0014813624613167,0.9130478111985286,0.0854708263401547,natural_vegetation_fire,natural_vegetation_fire
FW25_00082095,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,3.14,344.27,11.62487,0.45816207,6.583357,3.5262141,-8.098656,0,0,1,1,33.85431267254152,False,False,natural_vegetation_fire,0.0068419720917035,0.8414932271217171,0.1516648007865793,0.0015864664120811,0.9059365965278686,0.0924769370600501,natural_vegetation_fire,natural_vegetation_fire
FW25_00334710,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,2.25,333.02,2.6917665,0.42132324,6.1485043,2.9872172,0.2954507,0,0,1,1,36.72768899547113,False,False,natural_vegetation_fire,0.0072377164793248,0.8334804370882077,0.1592818464324672,0.0016700919109303,0.9006629279452087,0.0976669801438609,natural_vegetation_fire,natural_vegetation_fire
FW25_00162146,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,7.81,352.39,18.45229,0.21082859,4.092737,11.140039,-7.31225,0,0,1,1,71.8467473982636,False,False,natural_vegetation_fire,0.0086713681411218,0.8716053049831428,0.1197233268757352,0.0017095072274716,0.9269794071044812,0.071311085668047,natural_vegetation_fire,natural_vegetation_fire
FW25_00390703,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,3.23,313.97,10.111792,0.2801562,5.168455,1.4456445,-8.666147,0,0,1,1,41.79458243077052,False,False,natural_vegetation_fire,0.0084047529577921,0.8343343586846659,0.1572608883575418,0.0018241310798232,0.901914320413717,0.0962615485064597,natural_vegetation_fire,natural_vegetation_fire
FW25_00239702,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,9.22,367.0,16.967505,0.8498239,3.5096488,7.2825994,-9.684905,0,0,1,1,31.742354834430152,False,False,natural_vegetation_fire,0.0095967344462496,0.8618066856852848,0.1285965798684655,0.0018583692053362,0.9210662343538162,0.0770753964408475,natural_vegetation_fire,natural_vegetation_fire
FW25_00597059,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,5.54,329.34,15.533226,0.18972002,17.495506,5.90752,-9.625706,0,0,1,1,90.03544281530098,False,False,natural_vegetation_fire,0.0064708874313452,0.7483480399540955,0.2451810726145593,0.0018663759079775,0.8370106588977789,0.1611229651942435,natural_vegetation_fire,natural_vegetation_fire
FW25_00604318,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,3.26,336.88,3.4108598,0.9626209,10.408135,0.95594233,-2.4549174,0,0,1,1,71.46392195618725,False,False,natural_vegetation_fire,0.0092594341734867,0.7836410902312652,0.2070994755952482,0.0021544474757704,0.8659872154826119,0.1318583370416175,natural_vegetation_fire,natural_vegetation_fire
FW25_00117748,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,12.05,346.27,20.317009,0.98001593,4.9359145,11.552395,-8.764614,0,0,1,1,33.09145664293187,False,False,natural_vegetation_fire,0.0143558030319237,0.8813000388251535,0.1043441581429226,0.0022596692863646,0.9361292031741156,0.0616111275395197,natural_vegetation_fire,natural_vegetation_fire
FW25_00094389,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,1.89,323.56,11.303176,0.105662294,4.8288336,1.1774292,-10.125747,0,0,1,1,26.13722075416177,False,False,natural_vegetation_fire,0.0144582683428989,0.8079940252779342,0.1775477063791669,0.002678070979766,0.8866898790345109,0.1106320499857231,natural_vegetation_fire,natural_vegetation_fire
FW25_00508660,other_uncertain,C_AMBIGUOUS,insufficient_or_conflicting_evidence,False,EPISODIC,0,0,6.54,351.98,7.338761,0.24243522,4.1251254,11.347363,4.0086026,0,0,1,1,79.34998549142664,False,False,other_uncertain,0.0084349436777688,0.6196833698976948,0.3718816864245364,0.0028556799520455,0.7245463596648803,0.2725979603830741,natural_vegetation_fire,natural_vegetation_fire
FW25_00520074,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,10.26,352.5,4.6923223,0.22445776,5.1668053,4.3799047,-0.3124175,0,0,1,1,49.85479408059145,False,False,natural_vegetation_fire,0.0088938020063575,0.6339235333564875,0.3571826646371549,0.0028633329242225,0.7386268792296923,0.2585097878460852,natural_vegetation_fire,natural_vegetation_fire
FW25_00442407,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,7.91,334.57,9.027749,0.9565085,2.129416,2.4397502,-6.587999,0,0,1,1,73.33485774246589,False,False,natural_vegetation_fire,0.0160149230817294,0.8044823154210836,0.1795027614971869,0.0028700902917762,0.8849899105713159,0.1121399991369078,natural_vegetation_fire,natural_vegetation_fire
FW25_00059889,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,1.87,330.13,21.50391,0.8962893,6.417175,23.63748,2.1335697,0,0,1,1,60.81306976363566,False,False,natural_vegetation_fire,0.0121036550178843,0.7104626876519248,0.2774336573301909,0.0029485912152413,0.8094531395737964,0.1875982692109621,natural_vegetation_fire,natural_vegetation_fire
FW25_00412367,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,3.44,367.0,9.878076,0.7940278,8.155503,7.1440015,-2.734074,0,0,1,1,100.04945766361455,False,False,natural_vegetation_fire,0.0192297174043305,0.840125427735997,0.1406448548596724,0.0029632873836344,0.9115599676737156,0.0854767449426501,natural_vegetation_fire,natural_vegetation_fire
FW25_00505731,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,10.99,345.74,4.405523,0.31875572,7.0014734,10.345504,5.939981,0,0,1,1,18.752209776352093,False,False,natural_vegetation_fire,0.0123767607078259,0.7137998672950078,0.2738233719971664,0.0029682945700128,0.8124200460798914,0.1846116593500957,natural_vegetation_fire,natural_vegetation_fire
FW25_00088328,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,5.14,337.02,5.4099274,0.85499644,8.384749,6.088421,0.6784935,0,0,1,1,29.20772594099912,False,False,natural_vegetation_fire,0.0121715794114441,0.6949748236612531,0.2928535969273028,0.0030546133918997,0.7962558854068359,0.2006895012012643,natural_vegetation_fire,natural_vegetation_fire
FW25_00514865,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,1.82,334.87,7.1347933,0.7051922,6.01975,5.240563,-1.8942304,0,0,1,1,104.1817922981825,False,False,natural_vegetation_fire,0.009116440192914,0.6086826976371897,0.3822008621698962,0.0030632289233934,0.7141611131427076,0.282775657933899,natural_vegetation_fire,natural_vegetation_fire
FW25_00208735,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,11.67,349.15,0.9067408,0.79336697,16.26217,5.002781,4.0960402,1,1,1,1,36.251680005521344,False,False,natural_vegetation_fire,0.0236080000755997,0.8746469448679413,0.101745055056459,0.0030888966261649,0.9365191516088206,0.0603919517650146,natural_vegetation_fire,natural_vegetation_fire
