observation_id,latitude,longitude,spatial_group,actual_class_id,actual_class,predicted_class_id,predicted_class,correct,prob_industrial_fire_candidate,prob_natural_vegetation_fire,prob_other_uncertain,max_probability,industrial_probability,winning_probability,probability_gap_to_winner,industrial_rank
FW_00603168,19.72166,79.17494,39_158,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.8595277728134586,0.0040752038652201,0.1363970233213211,0.8595277728134586,0.8595277728134586,0.8595277728134586,0.0,1
FW_00595530,17.1398,77.18397,34_154,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.8419525337477226,0.0043233706629759,0.1537240955893015,0.8419525337477226,0.8419525337477226,0.8419525337477226,0.0,1
FW_01204692,18.88996,72.97079,37_145,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.8116337408954983,0.052789046359266,0.1355772127452356,0.8116337408954983,0.8116337408954983,0.8116337408954983,0.0,1
FW_01204693,18.89275,72.96657,37_145,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.7878588168674916,0.0727619962569724,0.139379186875536,0.7878588168674916,0.7878588168674916,0.7878588168674916,0.0,1
FW_00443881,17.14127,77.18391,34_154,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.6692995024627785,0.0087105267713493,0.3219899707658721,0.6692995024627785,0.6692995024627785,0.6692995024627785,0.0,1
FW_00566311,22.36547,73.11723,44_146,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.6567806966681451,0.0200582517610656,0.3231610515707893,0.6567806966681451,0.6567806966681451,0.6567806966681451,0.0,1
FW_01555884,31.39312,75.13801,62_150,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.6383082928106175,0.124942321601518,0.2367493855878644,0.6383082928106175,0.6383082928106175,0.6383082928106175,0.0,1
FW_01689981,22.36684,73.11494,44_146,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.5548925844982882,0.024798392338827,0.4203090231628848,0.5548925844982882,0.5548925844982882,0.5548925844982882,0.0,1
FW_00319303,18.85943,72.92653,37_145,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.5040777104884998,0.0337857003330079,0.4621365891784922,0.5040777104884998,0.5040777104884998,0.5040777104884998,0.0,1
FW_00449941,25.41418,86.02704,50_172,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.5003003824494371,0.0163468694679066,0.4833527480826562,0.5003003824494371,0.5003003824494371,0.5003003824494371,0.0,1
FW_01070375,17.13994,77.17563,34_154,0,industrial_fire_candidate,2,other_uncertain,False,0.4890464031431045,0.0096436066115382,0.5013099902453572,0.5013099902453572,0.4890464031431045,0.5013099902453572,0.012263587102252671,2
