observation_id,latitude,longitude,spatial_group,actual_class_id,actual_class,predicted_class_id,predicted_class,correct,prob_industrial_fire_candidate,prob_natural_vegetation_fire,prob_other_uncertain,max_probability
FW_01129842,19.96279,79.33357,39_158,2,other_uncertain,0,industrial_fire_candidate,False,0.8695348358199421,0.0040090470724628,0.1264561171075951,0.8695348358199421
FW_00339116,19.95736,79.33961,39_158,1,natural_vegetation_fire,0,industrial_fire_candidate,False,0.7470806060422246,0.0433408863475636,0.2095785076102117,0.7470806060422246
FW_01663781,24.14803,86.33076,48_172,2,other_uncertain,0,industrial_fire_candidate,False,0.5767309425438853,0.137530012991669,0.2857390444644456,0.5767309425438853
FW_00567093,19.96305,79.3309,39_158,2,other_uncertain,0,industrial_fire_candidate,False,0.7330343626789484,0.0102489709911626,0.2567166663298888,0.7330343626789484
FW_00569489,24.14657,86.33004,48_172,2,other_uncertain,0,industrial_fire_candidate,False,0.4774735058140343,0.1136720377222439,0.4088544564637216,0.4774735058140343
FW_00267740,24.44654,82.95349,48_165,2,other_uncertain,0,industrial_fire_candidate,False,0.5333282149303994,0.1764992699877751,0.2901725150818254,0.5333282149303994
FW_01305234,16.43227,74.14513,32_148,1,natural_vegetation_fire,0,industrial_fire_candidate,False,0.4671898971921777,0.0770796287517805,0.4557304740560418,0.4671898971921777
FW_01607907,20.79496,85.2571,41_170,2,other_uncertain,0,industrial_fire_candidate,False,0.560608488589924,0.0289655136173427,0.4104259977927335,0.560608488589924
FW_00015673,22.3646,73.11724,44_146,2,other_uncertain,0,industrial_fire_candidate,False,0.4960256596834901,0.0537386158606423,0.4502357244558673,0.4960256596834901
FW_01110025,22.20169,84.57687,44_169,2,other_uncertain,0,industrial_fire_candidate,False,0.5431713605143238,0.0217209573456735,0.4351076821400027,0.5431713605143238
FW_00267742,24.45044,82.95667,48_165,2,other_uncertain,0,industrial_fire_candidate,False,0.4733963480961636,0.2137402650677027,0.3128633868361338,0.4733963480961636
