observation_id,latitude,longitude,spatial_group,actual_class_id,actual_class,predicted_class_id,predicted_class,correct,prob_industrial_fire_candidate,prob_natural_vegetation_fire,prob_other_uncertain,max_probability,industrial_probability,winning_probability,probability_gap_to_winner,industrial_rank
FW_01070375,17.13994,77.17563,34_154,0,industrial_fire_candidate,2,other_uncertain,False,0.4257503572644652,0.0301979978148027,0.5440516449207319,0.5440516449207319,0.4257503572644652,0.5440516449207319,0.11830128765626668,2
FW_00603168,19.72166,79.17494,39_158,0,industrial_fire_candidate,2,other_uncertain,False,0.4110321952304593,0.0323422311385059,0.5566255736310348,0.5566255736310348,0.4110321952304593,0.5566255736310348,0.1455933784005755,2
FW_01689981,22.36684,73.11494,44_146,0,industrial_fire_candidate,2,other_uncertain,False,0.354084056956035,0.0979514460390878,0.5479644970048773,0.5479644970048773,0.354084056956035,0.5479644970048773,0.19388044004884225,2
FW_00566311,22.36547,73.11723,44_146,0,industrial_fire_candidate,2,other_uncertain,False,0.3247479929244352,0.1168556038778059,0.5583964031977589,0.5583964031977589,0.3247479929244352,0.5583964031977589,0.23364841027332367,2
FW_01716368,15.16564,76.37988,30_152,0,industrial_fire_candidate,2,other_uncertain,False,0.3020207586880927,0.0211871887517849,0.6767920525601218,0.6767920525601218,0.3020207586880927,0.6767920525601218,0.37477129387202907,2
FW_01555884,31.39312,75.13801,62_150,0,industrial_fire_candidate,1,natural_vegetation_fire,False,0.2958884471190214,0.3586909015176637,0.3454206513633148,0.3586909015176637,0.2958884471190214,0.3586909015176637,0.0628024543986423,3
FW_00601520,19.72302,79.17346,39_158,0,industrial_fire_candidate,2,other_uncertain,False,0.2897999174186394,0.0632630484732963,0.6469370341080641,0.6469370341080641,0.2897999174186394,0.6469370341080641,0.3571371166894247,2
FW_00449941,25.41418,86.02704,50_172,0,industrial_fire_candidate,2,other_uncertain,False,0.2778712854837467,0.0884761698856444,0.6336525446306086,0.6336525446306086,0.2778712854837467,0.6336525446306086,0.35578125914686193,2
FW_00223988,18.85938,72.92815,37_145,0,industrial_fire_candidate,2,other_uncertain,False,0.2754907301209016,0.0870943396143202,0.6374149302647779,0.6374149302647779,0.2754907301209016,0.6374149302647779,0.36192420014387633,2
FW_00319303,18.85943,72.92653,37_145,0,industrial_fire_candidate,2,other_uncertain,False,0.2581673799112114,0.0617897403551777,0.6800428797336107,0.6800428797336107,0.2581673799112114,0.6800428797336107,0.42187549982239925,2
