observation_id,latitude,longitude,spatial_group,actual_class_id,actual_class,predicted_class_id,predicted_class,correct,prob_industrial_fire_candidate,prob_natural_vegetation_fire,prob_other_uncertain,max_probability,industrial_probability,winning_probability,probability_gap_to_winner,industrial_rank
FW_00443881,17.14127,77.18391,34_154,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.9437481,0.00062648987,0.05562545,0.9437481,0.9437481,0.9437481,0.0,1
FW_00595530,17.1398,77.18397,34_154,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.89216137,0.0015991667,0.10623949,0.89216137,0.89216137,0.89216137,0.0,1
FW_01204692,18.88996,72.97079,37_145,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.795117,0.04783709,0.15704592,0.795117,0.795117,0.795117,0.0,1
FW_01070375,17.13994,77.17563,34_154,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.7876005,0.0029446117,0.20945486,0.7876005,0.7876005,0.7876005,0.0,1
FW_00603168,19.72166,79.17494,39_158,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.78167486,0.00052232086,0.21780276,0.78167486,0.78167486,0.78167486,0.0,1
FW_01204693,18.89275,72.96657,37_145,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.73407537,0.049652595,0.21627203,0.73407537,0.73407537,0.73407537,0.0,1
FW_01555884,31.39312,75.13801,62_150,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.6480746,0.17181908,0.18010633,0.6480746,0.6480746,0.6480746,0.0,1
FW_00054168,22.38408,73.1041,44_146,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.47525463,0.367637,0.1571084,0.47525463,0.47525463,0.47525463,0.0,1
FW_00223988,18.85938,72.92815,37_145,0,industrial_fire_candidate,2,other_uncertain,False,0.44070703,0.060200293,0.49909273,0.49909273,0.44070703,0.49909273,0.058385699999999985,2
FW_00619728,18.85475,72.93101,37_145,0,industrial_fire_candidate,0,industrial_fire_candidate,True,0.41664702,0.21820967,0.36514324,0.41664702,0.41664702,0.41664702,0.0,1
FW_00449941,25.41418,86.02704,50_172,0,industrial_fire_candidate,2,other_uncertain,False,0.37324953,0.040615287,0.58613515,0.58613515,0.37324953,0.58613515,0.21288562000000005,2
FW_01689981,22.36684,73.11494,44_146,0,industrial_fire_candidate,2,other_uncertain,False,0.36824974,0.00812206,0.6236282,0.6236282,0.36824974,0.6236282,0.25537846,2
FW_00426888,18.85685,72.92874,37_145,0,industrial_fire_candidate,2,other_uncertain,False,0.26422712,0.02846829,0.7073046,0.7073046,0.26422712,0.7073046,0.44307747999999997,2
FW_00031789,18.85568,72.92731,37_145,0,industrial_fire_candidate,2,other_uncertain,False,0.26368365,0.015125684,0.7211907,0.7211907,0.26368365,0.7211907,0.45750704999999997,2
FW_00566311,22.36547,73.11723,44_146,0,industrial_fire_candidate,2,other_uncertain,False,0.26008317,0.004983284,0.73493356,0.73493356,0.26008317,0.73493356,0.47485039,2
FW_00008156,18.85599,72.92638,37_145,0,industrial_fire_candidate,2,other_uncertain,False,0.257844,0.07239869,0.6697573,0.6697573,0.257844,0.6697573,0.4119133,2
FW_00910762,22.09377,78.17985,44_156,0,industrial_fire_candidate,1,natural_vegetation_fire,False,0.20826592,0.7352189,0.05651514,0.7352189,0.20826592,0.7352189,0.52695298,2
FW_00558707,19.92985,79.12083,39_158,0,industrial_fire_candidate,2,other_uncertain,False,0.20173706,0.0011284389,0.79713446,0.79713446,0.20173706,0.79713446,0.5953974,2
FW_00515222,22.38405,73.10536,44_146,0,industrial_fire_candidate,1,natural_vegetation_fire,False,0.16964033,0.7500321,0.080327615,0.7500321,0.16964033,0.7500321,0.58039177,2
FW_00319303,18.85943,72.92653,37_145,0,industrial_fire_candidate,2,other_uncertain,False,0.16465974,0.021323675,0.8140166,0.8140166,0.16465974,0.8140166,0.6493568599999999,2
FW_00354035,18.85812,72.92815,37_145,0,industrial_fire_candidate,2,other_uncertain,False,0.14293775,0.01571849,0.84134376,0.84134376,0.14293775,0.84134376,0.69840601,2
FW_01716368,15.16564,76.37988,30_152,0,industrial_fire_candidate,2,other_uncertain,False,0.12135736,0.0020162135,0.8766264,0.8766264,0.12135736,0.8766264,0.7552690400000001,2
FW_00223987,18.85526,72.92865,37_145,0,industrial_fire_candidate,2,other_uncertain,False,0.081728384,0.048070204,0.87020135,0.87020135,0.081728384,0.87020135,0.7884729659999999,2
FW_00601520,19.72302,79.17346,39_158,0,industrial_fire_candidate,2,other_uncertain,False,0.0739205,0.0029398915,0.9231396,0.9231396,0.0739205,0.9231396,0.8492191,2
FW_01559828,31.38324,75.13108,62_150,0,industrial_fire_candidate,1,natural_vegetation_fire,False,0.06784355,0.86149406,0.07066235,0.86149406,0.06784355,0.86149406,0.79365051,3
FW_01689932,19.72429,79.17611,39_158,0,industrial_fire_candidate,2,other_uncertain,False,0.058717515,0.0035247065,0.9377578,0.9377578,0.058717515,0.9377578,0.879040285,2
FW_01309931,24.34813,73.73278,48_147,0,industrial_fire_candidate,1,natural_vegetation_fire,False,0.055501275,0.8739103,0.07058849,0.8739103,0.055501275,0.8739103,0.818409025,3
FW_00020228,18.85355,72.92986,37_145,0,industrial_fire_candidate,2,other_uncertain,False,0.0443447,0.3259125,0.62974274,0.62974274,0.0443447,0.62974274,0.58539804,3
FW_00616741,19.7865,79.14897,39_158,0,industrial_fire_candidate,2,other_uncertain,False,0.03202034,0.0023005663,0.9656791,0.9656791,0.03202034,0.9656791,0.93365876,2
FW_01532341,15.16819,76.38056,30_152,0,industrial_fire_candidate,2,other_uncertain,False,0.027862955,0.0010789245,0.97105813,0.97105813,0.027862955,0.97105813,0.9431951749999999,2
FW_01027058,15.17768,77.10188,30_154,0,industrial_fire_candidate,2,other_uncertain,False,0.019207187,0.13944243,0.8413504,0.8413504,0.019207187,0.8413504,0.822143213,3
FW_00447434,15.1783,77.10143,30_154,0,industrial_fire_candidate,1,natural_vegetation_fire,False,0.0190221,0.7510972,0.22988069,0.7510972,0.0190221,0.7510972,0.7320751,3
FW_00447208,18.85766,72.92856,37_145,0,industrial_fire_candidate,2,other_uncertain,False,0.018093523,0.010895839,0.97101057,0.97101057,0.018093523,0.97101057,0.952917047,2
FW_01222503,15.31641,76.25491,30_152,0,industrial_fire_candidate,2,other_uncertain,False,0.015842587,0.002649839,0.9815076,0.9815076,0.015842587,0.9815076,0.9656650130000001,2
FW_00372420,26.79337,72.00654,53_144,0,industrial_fire_candidate,2,other_uncertain,False,0.01524166,0.014127244,0.97063106,0.97063106,0.01524166,0.97063106,0.9553893999999999,2
FW_01052562,21.23378,79.62777,42_159,0,industrial_fire_candidate,2,other_uncertain,False,0.014770404,0.0015613099,0.98366827,0.98366827,0.014770404,0.98366827,0.968897866,2
FW_00691432,18.85515,72.92812,37_145,0,industrial_fire_candidate,2,other_uncertain,False,0.013471458,0.015820604,0.970708,0.970708,0.013471458,0.970708,0.957236542,3
FW_01301906,25.41516,86.02838,50_172,0,industrial_fire_candidate,2,other_uncertain,False,0.012061255,0.10470636,0.88323236,0.88323236,0.012061255,0.88323236,0.8711711050000001,3
FW_00490806,15.30857,76.25442,30_152,0,industrial_fire_candidate,1,natural_vegetation_fire,False,0.011223995,0.8908309,0.097945146,0.8908309,0.011223995,0.8908309,0.8796069049999999,3
FW_00241600,18.8555,72.92642,37_145,0,industrial_fire_candidate,2,other_uncertain,False,0.011050717,0.052858666,0.93609065,0.93609065,0.011050717,0.93609065,0.925039933,3
FW_00446692,18.86095,72.92525,37_145,0,industrial_fire_candidate,2,other_uncertain,False,0.0068179914,0.0093329465,0.98384905,0.98384905,0.0068179914,0.98384905,0.9770310586000001,3
FW_01691829,21.23288,79.63125,42_159,0,industrial_fire_candidate,2,other_uncertain,False,0.006719541,0.0041627306,0.9891178,0.9891178,0.006719541,0.9891178,0.982398259,2
FW_00589252,15.17303,76.37752,30_152,0,industrial_fire_candidate,2,other_uncertain,False,0.0049762637,0.0016748986,0.9933488,0.9933488,0.0049762637,0.9933488,0.9883725363,2
FW_00815052,15.1668,76.37924,30_152,0,industrial_fire_candidate,2,other_uncertain,False,0.0049427915,0.0030266775,0.9920305,0.9920305,0.0049427915,0.9920305,0.9870877085,2
FW_00609098,15.17205,76.37645,30_152,0,industrial_fire_candidate,2,other_uncertain,False,0.0047165537,0.0018970559,0.99338645,0.99338645,0.0047165537,0.99338645,0.9886698963,2
FW_01147782,15.6455,76.86913,31_153,0,industrial_fire_candidate,1,natural_vegetation_fire,False,0.0045296224,0.7690795,0.22639084,0.7690795,0.0045296224,0.7690795,0.7645498776,3
FW_01482670,19.78528,79.14627,39_158,0,industrial_fire_candidate,2,other_uncertain,False,0.004367967,0.014816916,0.9808152,0.9808152,0.004367967,0.9808152,0.976447233,3
FW_01723615,15.3127,76.26781,30_152,0,industrial_fire_candidate,2,other_uncertain,False,0.0042764074,0.3229124,0.6728112,0.6728112,0.0042764074,0.6728112,0.6685347926,3
FW_01138776,15.31596,76.25436,30_152,0,industrial_fire_candidate,2,other_uncertain,False,0.003336905,0.18536156,0.8113015,0.8113015,0.003336905,0.8113015,0.8079645950000001,3
FW_01205401,19.92149,79.11234,39_158,0,industrial_fire_candidate,2,other_uncertain,False,0.002854287,0.025153767,0.9719919,0.9719919,0.002854287,0.9719919,0.969137613,3
FW_01723614,15.30835,76.25241,30_152,0,industrial_fire_candidate,2,other_uncertain,False,0.0027053251,0.36745358,0.6298411,0.6298411,0.0027053251,0.6298411,0.6271357749,3
FW_01559827,31.37918,75.12902,62_150,0,industrial_fire_candidate,1,natural_vegetation_fire,False,0.0025081898,0.7552093,0.24228247,0.7552093,0.0025081898,0.7552093,0.7527011102,3
FW_00705414,25.41639,86.02964,50_172,0,industrial_fire_candidate,2,other_uncertain,False,0.0022381179,0.04311112,0.95465076,0.95465076,0.0022381179,0.95465076,0.9524126421000001,3
FW_00006137,15.18004,77.10332,30_154,0,industrial_fire_candidate,2,other_uncertain,False,0.0016364987,0.03552331,0.96284014,0.96284014,0.0016364987,0.96284014,0.9612036412999999,3
FW_00569770,15.17758,77.10445,30_154,0,industrial_fire_candidate,2,other_uncertain,False,0.0013418051,0.050532747,0.9481254,0.9481254,0.0013418051,0.9481254,0.9467835949,3
FW_00592513,15.33223,76.24747,30_152,0,industrial_fire_candidate,2,other_uncertain,False,0.0004905496,0.034947127,0.96456236,0.96456236,0.0004905496,0.96456236,0.9640718104,3
FW_00582610,15.17875,77.10149,30_154,0,industrial_fire_candidate,2,other_uncertain,False,0.0002567881,0.03875182,0.9609914,0.9609914,0.0002567881,0.9609914,0.9607346119000001,3
