threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,false_positive_rate,predicted_industrial
0.02,53,177,4,971,0.23043478260869565,0.9298245614035088,0.3693379790940767,0.15418118466898956,230
0.03,50,151,7,997,0.24875621890547264,0.8771929824561403,0.3875968992248062,0.13153310104529617,201
0.04,47,132,10,1016,0.26256983240223464,0.8245614035087719,0.3983050847457627,0.11498257839721254,179
0.05,45,118,12,1030,0.27607361963190186,0.7894736842105263,0.4090909090909091,0.10278745644599303,163
0.06,44,105,13,1043,0.2953020134228188,0.7719298245614035,0.42718446601941745,0.09146341463414634,149
0.07,43,97,14,1051,0.30714285714285716,0.7543859649122807,0.4365482233502538,0.08449477351916376,140
0.08,40,93,17,1055,0.3007518796992481,0.7017543859649122,0.42105263157894735,0.08101045296167247,133
0.09,40,90,17,1058,0.3076923076923077,0.7017543859649122,0.42780748663101603,0.078397212543554,130
0.1,39,84,18,1064,0.3170731707317073,0.6842105263157895,0.43333333333333335,0.07317073170731707,123
0.11,36,78,21,1070,0.3157894736842105,0.631578947368421,0.42105263157894735,0.06794425087108014,114
0.12,36,74,21,1074,0.32727272727272727,0.631578947368421,0.4311377245508982,0.06445993031358885,110
0.13,35,69,22,1079,0.33653846153846156,0.6140350877192983,0.43478260869565216,0.06010452961672474,104
0.14,34,65,23,1083,0.3434343434343434,0.5964912280701754,0.4358974358974359,0.05662020905923345,99
0.15,32,61,25,1087,0.34408602150537637,0.5614035087719298,0.4266666666666667,0.05313588850174216,93
0.16,31,54,26,1094,0.36470588235294116,0.543859649122807,0.43661971830985913,0.047038327526132406,85
0.17,31,48,26,1100,0.3924050632911392,0.543859649122807,0.45588235294117646,0.041811846689895474,79
0.18,29,47,28,1101,0.3815789473684211,0.5087719298245614,0.43609022556390975,0.040940766550522645,76
0.19,28,46,29,1102,0.3783783783783784,0.49122807017543857,0.42748091603053434,0.04006968641114982,74
0.2,27,45,30,1103,0.375,0.47368421052631576,0.4186046511627907,0.039198606271777,72
0.21,27,44,30,1104,0.38028169014084506,0.47368421052631576,0.421875,0.03832752613240418,71
0.22,26,42,31,1106,0.38235294117647056,0.45614035087719296,0.416,0.036585365853658534,68
0.23,26,40,31,1108,0.3939393939393939,0.45614035087719296,0.42276422764227645,0.03484320557491289,66
0.24,26,37,31,1111,0.4126984126984127,0.45614035087719296,0.43333333333333335,0.032229965156794424,63
0.25,23,34,34,1114,0.40350877192982454,0.40350877192982454,0.40350877192982454,0.029616724738675958,57
0.26,21,31,36,1117,0.40384615384615385,0.3684210526315789,0.3853211009174312,0.02700348432055749,52
0.27,21,30,36,1118,0.4117647058823529,0.3684210526315789,0.3888888888888889,0.02613240418118467,51
0.28,21,28,36,1120,0.42857142857142855,0.3684210526315789,0.39622641509433965,0.024390243902439025,49
0.29,21,27,36,1121,0.4375,0.3684210526315789,0.4,0.023519163763066203,48
0.3,20,27,37,1121,0.425531914893617,0.3508771929824561,0.38461538461538464,0.023519163763066203,47
