feature,mean_abs_shap,mean_signed_shap
distance_to_supporting_industrial_km,0.7718875102825634,-0.5800145368200195
distance_to_infrastructure_km,0.7049385312522409,-0.45217216947820577
distance_to_strong_industrial_km,0.4075774719053916,-0.2934413627353359
strong_industrial_vs_vegetation_distance_km,0.287694694493633,-0.14562569107284426
B8,0.10886799798023772,-0.07288938814277113
distance_to_vegetation_km,0.09050173011660674,-0.05118043951783335
NDVI,0.08573832071333323,-0.06761413395395047
frp_ratio_to_history,0.06388405702193811,-0.003490443872988145
B11,0.059487805939755514,-0.03627227679039883
NDMI,0.05476074615295021,-0.013983405619893408
brightness_t31_delta,0.05405675259613998,-0.013553406845253423
bright_t31,0.049005804840208736,-0.005780431610497933
NBR,0.045719897002129924,-0.021262243533364162
active_days_fraction_30d,0.04571270525758997,-0.03404005210573322
distinct_active_days_30d,0.036969422900293404,-0.02681290357358972
track,0.034572664218105856,-0.00727584569383191
scan,0.034338415724857435,-0.002924754558065003
month,0.03215901968526592,-0.005822521122423488
month_sin,0.029509312889435788,-0.003932698777886325
B12,0.028505555793757555,-0.014058928096412697
B4,0.02796332983181425,-0.009738501826351671
hour,0.026714687615389587,-0.007948406177702901
hour_sin,0.026143670398235255,-0.005713991260330282
brightness,0.02384103459868494,-0.01123494756737472
detections_30d,0.023540716752688054,-0.02165579490873873
hour_cos,0.02343519288836276,-0.005973797642606186
log_frp,0.022498792285217947,-0.006427306123844789
frp,0.0213150262516849,-0.008715256652918033
detections_10d,0.01860211688672559,-0.016128787458470444
detections_3d,0.012719715889505597,-0.008366849531810387
month_cos,0.011776916343823007,-0.0010884556414379127
detections_7d,0.011401663656775987,-0.00563431702715791
confidence_code,0.006796574855689125,0.00042662168569519124
satellite_evidence_available,0.00457605646331494,-0.0011840260893726034
