feature,mean_abs_shap,mean_signed_shap
distance_to_infrastructure_km,0.5635210603070294,0.34350341031260206
distance_to_supporting_industrial_km,0.5397712834714976,0.3720839467981168
distance_to_strong_industrial_km,0.43439594347534366,0.26983307081350016
NDVI,0.39764490929468355,0.1554677181049191
B8,0.22595722101708263,0.12357565841256105
strong_industrial_vs_vegetation_distance_km,0.1916571311489932,0.09689073968249243
distinct_active_days_30d,0.11840242436186207,0.04824445216525232
NBR,0.11603915317556346,0.04591183226853558
B11,0.10570073416375637,0.05408692781271737
active_days_fraction_30d,0.10194421614983382,0.04895251225355337
NDMI,0.09034466529823423,0.013596274351052493
detections_30d,0.06812400515670013,0.04294073185088178
month_sin,0.04891986831922696,0.009306379270734582
detections_10d,0.04693749440346201,0.025647320125570378
distance_to_vegetation_km,0.043824963329982855,0.02601741725374914
hour,0.03996724088478117,0.008269909847782737
hour_sin,0.03973915859203533,0.009090975313635489
hour_cos,0.03739129923389586,0.007088773768222247
bright_t31,0.03266982028012545,0.005720032297545451
brightness_t31_delta,0.03221020668136851,0.01004382394923317
B12,0.03034762379382207,0.014115271102288034
month_cos,0.028886435798423333,0.0016999677205365652
brightness,0.028048530001288735,0.005481665102453655
track,0.02232756026958686,0.005234572790733396
detections_7d,0.021624957156239955,0.014997678153872408
log_frp,0.020986558348499766,0.003858706453286854
B4,0.02073622466897603,0.012117283287693067
frp,0.02063668979409932,0.005505870916323765
scan,0.02016383528197047,0.0020787569793182413
detections_3d,0.02010080257900733,0.009986679391217983
month,0.015246210942054578,0.004973701663046664
frp_ratio_to_history,0.011771063209094532,0.0064649481267057005
satellite_evidence_available,0.01102202390740339,-0.00040134059531921594
confidence_code,0.0023809445359606776,8.645443998018362e-05
