feature,mean_abs_shap,mean_signed_shap
NDVI,0.33775980822562185,-0.08785358415096856
distance_to_supporting_industrial_km,0.25311876513499254,0.20793059002190373
distance_to_infrastructure_km,0.1465674644427088,0.10866875916560395
B8,0.11900952836230994,-0.05068627026978891
strong_industrial_vs_vegetation_distance_km,0.11362387595117839,0.04873495139035171
NDMI,0.10672150766986926,0.00038713126884087245
distinct_active_days_30d,0.08349050940621656,-0.021431548591662606
NBR,0.08206534831922598,-0.024649588735171573
distance_to_vegetation_km,0.07799455693088864,0.02516302226408411
month_sin,0.07556162545340495,-0.005373680492848294
B11,0.06910951461503677,-0.017814651022318526
distance_to_strong_industrial_km,0.06815276991834773,0.02360829192183626
frp_ratio_to_history,0.05923941171477073,-0.002974504253717574
active_days_fraction_30d,0.05698709874090684,-0.014912460147820052
detections_30d,0.0537102575334693,-0.021284936942142976
bright_t31,0.035000717341844595,6.039931295247107e-05
month,0.033485374830957815,0.0008488194593768209
detections_10d,0.03308615801976695,-0.009518532667099983
B12,0.03090085517220562,-5.634300587538115e-05
month_cos,0.028752203531363714,-0.0006115120790986658
B4,0.026364977884790017,-0.0023787814613414134
brightness_t31_delta,0.026339106785118548,0.0035095828960203983
detections_7d,0.022856073329933484,-0.009363361126714693
scan,0.02024163784951464,0.0008459975787467564
brightness,0.019236862663300276,0.005753282464921063
track,0.01678808951742284,0.0020412729030985055
hour_cos,0.01532110415308006,-0.0011149761256160897
hour_sin,0.014947028186226187,-0.003376984053305268
hour,0.014198338488669653,-0.00032150367007977764
frp,0.012981388746411375,0.0032093857365943098
detections_3d,0.012353869229061766,-0.0016198298594075702
log_frp,0.011969841805874204,0.002568599670557985
satellite_evidence_available,0.007527692688588365,0.0015853666846918127
confidence_code,0.007491918286473818,-0.0005130761256753768
