feature,mean_abs_shap
distance_to_supporting_industrial_km,0.5215925196296848
distance_to_infrastructure_km,0.4716756853339927
distance_to_strong_industrial_km,0.30337539509969397
NDVI,0.2737143460778791
strong_industrial_vs_vegetation_distance_km,0.19765856719793454
B8,0.1512782491198767
NDMI,0.08394230637368434
NBR,0.08127479949897341
distinct_active_days_30d,0.07962078555612415
B11,0.0780993515728495
distance_to_vegetation_km,0.07077375012582611
active_days_fraction_30d,0.06821467338277672
month_sin,0.051330268887355895
detections_30d,0.0484583264809525
frp_ratio_to_history,0.044964843981934365
bright_t31,0.03889211415405963
brightness_t31_delta,0.03753535535420898
detections_10d,0.03287525643665152
B12,0.029918011586595072
month,0.02696353515275942
hour,0.026960088996280083
hour_sin,0.026943285725498943
hour_cos,0.025382532091779587
B4,0.025021510795193474
scan,0.0249146296187809
track,0.024562771335038553
brightness,0.023708809087757982
month_cos,0.02313851855787001
detections_7d,0.018627564714316473
log_frp,0.018485064146530606
frp,0.01831103493073187
detections_3d,0.015058129232524954
satellite_evidence_available,0.007708591019768886
confidence_code,0.005556479226041216
