threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,predicted_industrial
0.02,54,195,3,920,0.21686746987951808,0.9473684210526315,0.35294117647058826,249
0.03,54,163,3,952,0.2488479262672811,0.9473684210526315,0.39416058394160586,217
0.04,54,141,3,974,0.27692307692307694,0.9473684210526315,0.4285714285714286,195
0.05,53,134,4,981,0.28342245989304815,0.9298245614035088,0.43442622950819676,187
0.06,53,121,4,994,0.3045977011494253,0.9298245614035088,0.458874458874459,174
0.07,51,107,6,1008,0.3227848101265823,0.8947368421052632,0.4744186046511628,158
0.08,51,100,6,1015,0.33774834437086093,0.8947368421052632,0.4903846153846154,151
0.09,51,92,6,1023,0.35664335664335667,0.8947368421052632,0.51,143
0.1,51,90,6,1025,0.3617021276595745,0.8947368421052632,0.5151515151515151,141
0.11,51,81,6,1034,0.38636363636363635,0.8947368421052632,0.5396825396825397,132
0.12,47,80,10,1035,0.3700787401574803,0.8245614035087719,0.5108695652173912,127
0.13,46,75,11,1040,0.38016528925619836,0.8070175438596491,0.5168539325842697,121
0.14,45,73,12,1042,0.3813559322033898,0.7894736842105263,0.5142857142857142,118
0.15,44,72,13,1043,0.3793103448275862,0.7719298245614035,0.5086705202312138,116
0.16,44,66,13,1049,0.4,0.7719298245614035,0.5269461077844311,110
0.17,42,64,15,1051,0.39622641509433965,0.7368421052631579,0.5153374233128835,106
0.18,41,61,16,1054,0.4019607843137255,0.7192982456140351,0.5157232704402516,102
0.19,40,60,17,1055,0.4,0.7017543859649122,0.5095541401273885,100
0.2,40,59,17,1056,0.40404040404040403,0.7017543859649122,0.5128205128205128,99
0.21,40,56,17,1059,0.4166666666666667,0.7017543859649122,0.522875816993464,96
0.22,40,53,17,1062,0.43010752688172044,0.7017543859649122,0.5333333333333332,93
0.23,40,51,17,1064,0.43956043956043955,0.7017543859649122,0.5405405405405405,91
0.24,40,49,17,1066,0.449438202247191,0.7017543859649122,0.547945205479452,89
0.25,39,46,18,1069,0.4588235294117647,0.6842105263157895,0.5492957746478873,85
0.26,39,44,18,1071,0.46987951807228917,0.6842105263157895,0.5571428571428572,83
0.27,38,40,19,1075,0.48717948717948717,0.6666666666666666,0.5629629629629629,78
0.28,37,40,20,1075,0.4805194805194805,0.6491228070175439,0.5522388059701493,77
0.29,36,37,21,1078,0.4931506849315068,0.631578947368421,0.5538461538461539,73
0.3,35,37,22,1078,0.4861111111111111,0.6140350877192983,0.5426356589147286,72
0.31,33,34,24,1081,0.4925373134328358,0.5789473684210527,0.532258064516129,67
0.32,31,33,26,1082,0.484375,0.543859649122807,0.5123966942148761,64
0.33,30,30,27,1085,0.5,0.5263157894736842,0.5128205128205129,60
0.34,30,28,27,1087,0.5172413793103449,0.5263157894736842,0.5217391304347826,58
0.35,30,25,27,1090,0.5454545454545454,0.5263157894736842,0.5357142857142857,55
0.36,30,24,27,1091,0.5555555555555556,0.5263157894736842,0.5405405405405405,54
0.37,30,23,27,1092,0.5660377358490566,0.5263157894736842,0.5454545454545455,53
0.38,30,21,27,1094,0.5882352941176471,0.5263157894736842,0.5555555555555555,51
0.39,29,18,28,1097,0.6170212765957447,0.5087719298245614,0.5576923076923077,47
0.4,28,16,29,1099,0.6363636363636364,0.49122807017543857,0.5544554455445544,44
0.41,27,14,30,1101,0.6585365853658537,0.47368421052631576,0.5510204081632653,41
0.42,26,12,31,1103,0.6842105263157895,0.45614035087719296,0.5473684210526316,38
0.43,25,12,32,1103,0.6756756756756757,0.43859649122807015,0.5319148936170213,37
0.44,25,11,32,1104,0.6944444444444444,0.43859649122807015,0.5376344086021505,36
0.45,23,10,34,1105,0.696969696969697,0.40350877192982454,0.5111111111111111,33
0.46,23,8,34,1107,0.7419354838709677,0.40350877192982454,0.5227272727272727,31
0.47,23,7,34,1108,0.7666666666666667,0.40350877192982454,0.528735632183908,30
0.48,23,7,34,1108,0.7666666666666667,0.40350877192982454,0.528735632183908,30
0.49,23,7,34,1108,0.7666666666666667,0.40350877192982454,0.528735632183908,30
0.5,22,7,35,1108,0.7586206896551724,0.38596491228070173,0.5116279069767441,29
0.51,22,7,35,1108,0.7586206896551724,0.38596491228070173,0.5116279069767441,29
0.52,22,7,35,1108,0.7586206896551724,0.38596491228070173,0.5116279069767441,29
0.53,22,6,35,1109,0.7857142857142857,0.38596491228070173,0.5176470588235293,28
0.54,20,4,37,1111,0.8333333333333334,0.3508771929824561,0.4938271604938272,24
0.55,20,4,37,1111,0.8333333333333334,0.3508771929824561,0.4938271604938272,24
0.56,20,4,37,1111,0.8333333333333334,0.3508771929824561,0.4938271604938272,24
0.57,20,2,37,1113,0.9090909090909091,0.3508771929824561,0.5063291139240507,22
0.58,20,2,37,1113,0.9090909090909091,0.3508771929824561,0.5063291139240507,22
0.59,19,2,38,1113,0.9047619047619048,0.3333333333333333,0.4871794871794871,21
0.6,19,2,38,1113,0.9047619047619048,0.3333333333333333,0.4871794871794871,21
0.61,19,1,38,1114,0.95,0.3333333333333333,0.4935064935064935,20
0.62,18,1,39,1114,0.9473684210526315,0.3157894736842105,0.47368421052631576,19
0.63,18,0,39,1115,1.0,0.3157894736842105,0.4799999999999999,18
0.64,18,0,39,1115,1.0,0.3157894736842105,0.4799999999999999,18
0.65,18,0,39,1115,1.0,0.3157894736842105,0.4799999999999999,18
0.66,17,0,40,1115,1.0,0.2982456140350877,0.45945945945945943,17
0.67,17,0,40,1115,1.0,0.2982456140350877,0.45945945945945943,17
0.68,17,0,40,1115,1.0,0.2982456140350877,0.45945945945945943,17
0.69,17,0,40,1115,1.0,0.2982456140350877,0.45945945945945943,17
0.7,16,0,41,1115,1.0,0.2807017543859649,0.4383561643835616,16
0.71,15,0,42,1115,1.0,0.2631578947368421,0.4166666666666667,15
0.72,15,0,42,1115,1.0,0.2631578947368421,0.4166666666666667,15
0.73,14,0,43,1115,1.0,0.24561403508771928,0.3943661971830986,14
